date,time-spent,start-time,comments,posted
2026/01/01,1:00,11:00,"Read a textbook called 'Effective Java', read about best practices relating to how generics are used.",True
2026/01/01,1:00,12:00,"Read a textbook called 'Effective Java', read about best practices relating to how generics are used.",True
2026/04/01,3:00,14:00,"Was engaged in a Hackathon hosted by RedShift, got a change to explore OpenShift, which is RedHat's K8s offering",True
2026/04/10,01:30,10:00,IOT554 : Lecture on Resilience Testing and Software Engineering,True
2026/04/10,01:30,11:30,"IOT554 Lab: Resilience Testing with Fault Injection and Dependent Services, observing how a system behaves when a dependency fails.",True
2026/04/17,01:30,10:00,"IOT554 : Lecture on Security, and teh maintenance of secuirty across the software development lifecycle.",True
2026/04/17,01:30,11:30,"Lab: No specific excersies, was used to support hte submission of the lab portfolio for this module",True
2026/04/24,04:00,09:00,"No more lectures on fridays, time was spent working on teh assignment due for IOT552",True
2026/04/24,04:00,14:00,"No more lectures on fridays, time was spent working on teh assignment du for IOT554",True
2026/05/01,04:00,09:00,"No more lectures on fridays, time was spent working on teh assignment due for IOT552",True
2026/05/01,04:00,14:00,"No more lectures on fridays, time was spent working on teh assignment du for IOT554",True
2026/05/08,04:00,09:00,"No more lectures on fridays, time was spent working on teh assignment due for IOT552",True
2026/05/08,04:00,14:00,"No more lectures on fridays, time was spent working on teh assignment du for IOT554",True
2026/05/15,04:00,09:00,"No more lectures on fridays, time was spent working on teh assignment due for IOT554",True
2026/05/15,04:00,14:00,"No more lectures on fridays, time was spent working on teh assignment du for IOT554",True
2026/04/15,01:30,14:00,"Listened to a lecture on the basic patterns for cloud migrations and applicatiob modernisation, given by reps from RedHat",True
2026/04/13,01:30,15:30,Listened to a lecture which discussed the theory around a kind of hamming code to detect network partitions,True
2026/05/18,1:00,14:30,Spent an hour learning about the python interpreter and reading about the latest changes with the global interpreter lock that allow multi threading,True
2026/05/18,1:00,15:30,"Spent some time working on gs supplementary curriculum, this module was about hashmap, I started the implementation in golang",True
2026/05/18,1:00,16:30,"Spent some time working on gs supplementary curriculum, this module was about hashmap, I started the implementation in golang",True
